[2019-05-21T08:54:43.950] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.954] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.958] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.962] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.968] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.972] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.976] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.980] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.989] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.992] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.997] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.007] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.012] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.017] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.029] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.032] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.039] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.043] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.047] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.051] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.056] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.067] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.073] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.077] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.081] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.085] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.090] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.094] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.097] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.101] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.106] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.110] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.114] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.118] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.124] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.128] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.133] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.137] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.142] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.146] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.150] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.153] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.160] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.164] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.168] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.172] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.178] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.182] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.185] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.194] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.198] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.202] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.205] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.212] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.216] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.220] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.224] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.233] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.237] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.242] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:44.247] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
