[2019-04-03T11:39:04.123] [INFO] default - server listening at http://localhost:8082
[2019-04-03T11:39:06.958] [INFO] default - [127.0.0.1 GET / 200 5ms][ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:39:06.979] [INFO] default - [127.0.0.1 GET /css/app.2ddcaa16.css 200 1ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:39:06.981] [INFO] default - [127.0.0.1 GET /js/chunk-vendors.ecfdb737.js 200 3ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:39:06.982] [INFO] default - [127.0.0.1 GET /js/app.c644c3ed.js 200 2ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:39:07.085] [INFO] default - [127.0.0.1 GET /getFromHistory 200 4ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:39:07.088] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 200 1ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:39:07.089] [INFO] default - [127.0.0.1 GET /getToHistory 200 3ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:39:11.638] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 0ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:39:13.639] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 0ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:39:15.644] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 0ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:39:17.641] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 0ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:39:36.271] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 0ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:45:10.524] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 1ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:46:33.134] [INFO] default - server listening at http://localhost:8082
[2019-04-03T11:46:34.894] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 200 6ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:46:39.968] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 1ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:47:05.958] [INFO] default - server listening at http://localhost:8082
[2019-04-03T11:47:07.152] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 200 39ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:47:09.116] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 6ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:50:52.876] [INFO] default - server listening at http://localhost:8082
[2019-04-03T11:50:56.657] [INFO] default - [127.0.0.1 GET / 304 3ms][ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:50:56.686] [INFO] default - [127.0.0.1 GET /css/app.2ddcaa16.css 304 1ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:50:56.688] [INFO] default - [127.0.0.1 GET /js/chunk-vendors.ecfdb737.js 304 0ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:50:56.689] [INFO] default - [127.0.0.1 GET /js/app.c644c3ed.js 304 0ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:50:56.769] [INFO] default - [127.0.0.1 GET /getFromHistory 304 4ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:50:56.773] [INFO] default - [127.0.0.1 GET /getToHistory 304 2ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:50:56.794] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 200 15ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:51:03.972] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 3ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:51:05.973] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 3ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:51:49.468] [INFO] default - [127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 1ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
